open,effort,label
2018-04-03T01:35:07Z,2,C-enhancement;T-release;C-enhancement;T-release
2018-04-03T01:45:58Z,0,B-unstable;T-libs;B-unstable;T-libs
2018-04-03T03:20:17Z,30,NULL
2018-04-03T07:55:01Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review
2018-04-03T12:35:40Z,1,NULL
2018-04-03T13:42:50Z,0,S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;relnotes;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors
2018-04-03T16:04:33Z,92,T-compiler;WG-compiler-traits;T-compiler;WG-compiler-traits
2018-04-04T01:14:36Z,0,NULL
2018-04-04T01:26:33Z,38,NULL
2018-04-04T01:48:02Z,2,B-unstable;T-libs;B-unstable;T-libs
2018-04-04T08:45:14Z,53,E-mentor;T-compiler;WG-compiler-nll
2018-04-04T09:07:32Z,755,S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;relnotes;S-waiting-on-review
2018-04-04T14:17:44Z,33,T-dev-tools-rustdoc;T-dev-tools-rustdoc
2018-04-04T15:16:13Z,27,A-docs;A-infrastructure;T-tools;A-docs;A-infrastructure;T-tools
2018-04-04T19:44:12Z,409,B-unstable;T-lang;B-unstable;T-libs;B-unstable;T-lang;B-unstable;T-libs
2018-04-04T21:02:26Z,0,NULL
2018-04-04T21:39:45Z,2534,B-RFC-approved;T-lang;B-RFC-approved;B-RFC-approved;T-lang;B-RFC-approved
2018-04-04T23:57:33Z,40,S-waiting-on-review;S-waiting-on-review
2018-04-05T00:38:56Z,18,S-waiting-on-review;S-waiting-on-review
2018-04-05T00:43:23Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;WG-embedded;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;WG-embedded;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-04-05T03:20:00Z,106,S-waiting-on-review;S-waiting-on-review
2018-04-05T06:31:29Z,3,B-unstable;T-libs;B-unstable;T-libs
2018-04-05T08:51:28Z,688,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;WG-embedded
2018-04-05T15:33:50Z,87,NULL
2018-04-05T15:48:00Z,87,S-waiting-on-review;S-waiting-on-review
2018-04-05T15:49:23Z,2597,S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review
2018-04-05T17:30:01Z,2935,B-unstable;T-libs;B-unstable;T-libs
2018-04-05T18:27:57Z,16,NULL
2018-04-05T18:38:31Z,22,NULL
2018-04-05T20:00:54Z,1239,NULL
2018-04-05T21:20:23Z,181,NULL
2018-04-05T22:00:55Z,92,NULL
2018-04-06T00:42:31Z,1435,NULL
2018-04-06T08:36:11Z,193,B-unstable;C-tracking-issue;T-libs;B-unstable;C-tracking-issue;T-libs
2018-04-06T13:49:32Z,24,NULL
2018-04-06T14:09:52Z,74,A-testsuite;E-easy;A-testsuite;E-easy
2018-04-06T14:33:12Z,32,NULL
2018-04-06T14:36:47Z,4,WG-embedded;WG-embedded
2018-04-06T14:45:42Z,11,A-macros;T-libs;regression-from-stable-to-nightly;A-macros;T-libs;regression-from-stable-to-nightly
2018-04-06T19:17:24Z,24,T-doc
2018-04-06T19:56:20Z,0,S-waiting-on-bors;S-waiting-on-bors;T-doc;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;relnotes
2018-04-06T22:22:32Z,98,A-macros-2.0;A-macros-2.0
2018-04-06T22:38:31Z,5,S-waiting-on-review;S-waiting-on-review
2018-04-07T03:07:42Z,66,NULL
2018-04-07T06:51:35Z,268,T-doc;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-bors
2018-04-07T10:59:47Z,0,A-lint;E-mentor;A-lint;E-mentor
2018-04-07T12:04:38Z,304,NULL
2018-04-07T14:16:42Z,2,NULL
2018-04-07T22:16:46Z,531,A-docs;A-docs
2018-04-08T02:22:54Z,5,A-tools;E-mentor;A-tools;E-mentor
2018-04-08T02:33:02Z,8,NULL
2018-04-08T09:24:08Z,4,A-build;I-wrong;T-tools;A-build;I-wrong;T-tools
2018-04-08T10:54:23Z,159,NULL
2018-04-08T11:09:35Z,0,NULL
2018-04-08T11:15:05Z,63,NULL
2018-04-08T16:06:19Z,212,NULL
2018-04-09T07:31:33Z,147,B-unstable;T-compiler
2018-04-09T07:41:57Z,210,C-cleanup;T-compiler;WG-compiler-traits;C-cleanup;T-compiler;WG-compiler-traits
2018-04-09T17:10:13Z,82,NULL
2018-04-09T17:41:27Z,4,A-rustbuild;A-rustbuild
2018-04-09T18:42:12Z,10,A-spurious;O-android;T-release
2018-04-09T18:48:42Z,141,NULL
2018-04-09T20:55:12Z,0,A-unicode;T-libs;proposed-final-comment-period;A-unicode;T-libs;proposed-final-comment-period
2018-04-09T21:58:23Z,142,A-NLL;WG-compiler-nll;A-NLL;WG-compiler-nll
2018-04-09T22:04:24Z,15,NULL
2018-04-09T23:13:28Z,0,S-waiting-on-review;S-waiting-on-review
2018-04-10T00:37:54Z,3,S-waiting-on-review;S-waiting-on-review
2018-04-10T02:09:52Z,195,A-docs;A-docs
2018-04-10T02:29:02Z,91,NULL
2018-04-10T08:17:09Z,578,NULL
2018-04-10T09:13:32Z,27,NULL
2018-04-10T09:25:43Z,266,B-RFC-approved;B-unstable;T-lang
2018-04-10T12:52:00Z,0,A-traits;T-compiler;WG-compiler-traits;A-traits;T-compiler;WG-compiler-traits
2018-04-10T13:19:42Z,16,NULL
2018-04-10T17:19:55Z,276,A-rls;A-save-analysis;T-dev-tools;A-rls;A-save-analysis;T-dev-tools
2018-04-10T17:47:28Z,2,E-easy;I-cleanup;E-easy;I-cleanup
2018-04-10T20:06:15Z,133,A-macros-2.0;A-macros-2.0;A-macros-2.0;A-macros-2.0
2018-04-10T21:32:27Z,6,NULL
2018-04-10T21:40:18Z,1,NULL
2018-04-10T22:51:24Z,3682,NULL
2018-04-11T00:27:00Z,46,S-waiting-on-review;S-waiting-on-review
2018-04-11T10:12:23Z,0,NULL
2018-04-11T10:38:08Z,597,NULL
2018-04-11T11:06:00Z,89,NULL
2018-04-11T11:56:55Z,307,S-waiting-on-review;S-waiting-on-author;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors
2018-04-11T13:43:48Z,724,B-RFC-approved;C-tracking-issue;T-lang
2018-04-11T15:09:39Z,66,S-waiting-on-review;S-waiting-on-review
2018-04-11T15:26:33Z,341,NULL
2018-04-11T18:15:40Z,95,NULL
2018-04-11T22:43:49Z,10,A-testsuite;C-bug;T-compiler;A-testsuite;C-bug;T-compiler
2018-04-12T02:10:14Z,456,NULL
2018-04-12T07:58:08Z,8088,B-unstable;T-libs;B-unstable;T-libs
2018-04-12T10:05:36Z,595,NULL
2018-04-12T11:14:35Z,0,NULL
2018-04-12T13:17:41Z,29,NULL
2018-04-12T14:00:44Z,87,NULL
2018-04-12T14:08:24Z,2,NULL
2018-04-12T19:32:40Z,113,NULL
2018-04-13T09:11:05Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-accepted;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-accepted;beta-nominated
2018-04-13T14:04:18Z,24,A-diagnostics;A-diagnostics
2018-04-13T14:09:22Z,164,NULL
2018-04-13T14:59:24Z,458,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-accepted;beta-nominated;S-waiting-on-review;S-waiting-on-bors;beta-accepted;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-accepted;beta-nominated
2018-04-13T15:26:55Z,146,A-NLL;A-generators;WG-compiler-nll;A-NLL;A-generators;WG-compiler-nll
2018-04-13T15:58:59Z,28,A-const-fn;C-bug;T-compiler;regression-from-stable-to-beta;A-const-fn;C-bug;T-compiler;regression-from-stable-to-beta
2018-04-13T16:00:33Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-04-13T16:33:11Z,92,C-bug;I-nominated;T-compiler;regression-from-stable-to-beta;C-bug;I-nominated;T-compiler;regression-from-stable-to-beta
2018-04-13T20:54:44Z,257,NULL
2018-04-13T21:29:27Z,150,S-waiting-on-review;S-waiting-on-review
2018-04-14T11:21:28Z,0,NULL
