survived,year of survival,num_easy_y1,effort_y1
0,0,0,21
1,2018,0,2
0,0,0,2
0,0,0,441
1,2014,0,10
0,0,1,41
0,0,0,338
0,0,0,497
0,0,0,2
0,0,0,2
0,0,0,8
0,0,0,2
0,0,0,4
0,0,1,5
0,0,0,3
1,2014,0,36
0,0,2,36
0,0,0,4
0,0,0,19
1,2017,0,3378
0,0,0,4
0,0,0,37
0,0,0,10
0,0,0,14
0,0,1,70
0,0,0,10
0,0,0,2
0,0,0,16
0,0,0,64
0,0,0,3
0,0,3,35
0,0,0,6
0,0,0,341
0,0,0,7
0,0,0,2
0,0,0,5
0,0,0,2
0,0,1,89
0,0,1,82
0,0,0,2
1,2015,0,4
0,0,1,126
0,0,0,113
1,2018,0,362
1,2014,0,17
0,0,1,889
0,0,0,88
0,0,0,26
0,0,0,2
1,2018,0,13992
0,0,0,143
1,2015,0,63
1,2015,0,496
0,0,1,43
0,0,0,13
0,0,0,4
0,0,0,2
0,0,0,2
1,2015,1,166
0,0,0,49
0,0,0,31
0,0,0,2918
0,0,0,4
0,0,0,89
0,0,1,2702
1,2013,0,997
1,2015,0,251
1,2015,0,182
0,0,1,46
0,0,0,1022
0,0,0,6
0,0,1,25
0,0,0,2
1,2018,0,1229
0,0,0,58
0,0,0,2287
0,0,0,46
1,2018,0,586
0,0,0,2
0,0,0,4
0,0,0,16
0,0,0,13
0,0,0,10
1,2013,0,7
0,0,0,243
0,0,1,2
0,0,0,4
1,2018,0,552
1,2019,0,79
0,0,0,4
0,0,0,2
0,0,0,4
0,0,1,8
0,0,0,5
0,0,0,18
1,2014,0,24
1,2015,0,762
0,0,0,2
0,0,0,13
0,0,0,4
0,0,0,10
0,0,0,2
0,0,2,4
1,2018,0,30
0,0,0,3
0,0,0,83
0,0,0,2
0,0,0,21
1,2018,0,4
0,0,0,7
0,0,0,34
0,0,0,54
0,0,0,76
0,0,0,322
0,0,0,136
0,0,0,17
0,0,6,25
0,0,0,2
0,0,0,18610
0,0,0,3
1,2016,0,3
0,0,0,3
0,0,1,1300
0,0,0,2
0,0,0,140
0,0,0,13
0,0,0,43
0,0,0,17
0,0,0,237
1,2019,7,108
1,2017,0,131
0,0,0,112
0,0,0,2
0,0,0,316
0,0,0,14
0,0,0,2392
0,0,0,590
1,2016,0,40
0,0,0,16
0,0,0,10
1,2015,0,17
0,0,0,14
0,0,0,7
1,2015,0,3
0,0,0,254
0,0,0,2
1,2016,1,17
0,0,0,4
0,0,1,131
1,2015,0,12
0,0,0,9
1,2012,0,317
1,2015,0,54
0,0,0,2
0,0,0,4
0,0,0,2167
0,0,0,16
0,0,0,86269
1,2018,0,3747
1,2013,0,3972
1,2017,2,1143
0,0,0,2
0,0,0,7307
0,0,0,874
0,0,0,21
0,0,3,34
0,0,0,2
0,0,0,2
1,2014,0,23
0,0,0,2
0,0,0,20
0,0,0,1451
1,2018,3,6580
0,0,0,28
0,0,0,4
1,2013,0,463
0,0,3,16
0,0,0,2
0,0,0,6
1,2015,0,47187
1,2016,0,908
0,0,1,245
0,0,0,10
0,0,0,28
0,0,0,2
0,0,0,266
0,0,0,2
0,0,0,100
0,0,0,2
0,0,0,285
0,0,0,44
0,0,0,25
0,0,0,4
0,0,0,41
0,0,0,2
0,0,0,8
0,0,0,17
0,0,0,83
1,2017,0,60
0,0,1,22
0,0,0,4
0,0,0,2
0,0,0,118
0,0,1,34
0,0,0,12
0,0,0,16
1,2014,0,4825
0,0,0,23
0,0,0,20
1,2019,28,2459
1,2014,0,664
0,0,0,10
0,0,3,36
1,2016,0,2
1,2018,0,254
1,2018,0,25
0,0,0,4
1,2015,0,4
1,2014,0,3594
0,0,0,2
0,0,0,10
0,0,0,2
1,2019,0,300
0,0,2,128
0,0,0,210
0,0,0,6
0,0,0,489
0,0,0,274
0,0,0,2
0,0,0,2
1,2017,0,19
0,0,0,87
0,0,0,111
1,2016,0,4
0,0,0,4
0,0,0,2
1,2015,0,10
0,0,0,2
0,0,1,383
0,0,1,20
1,2014,0,5
0,0,0,2
1,2017,0,49
0,0,0,7
0,0,0,88
0,0,0,154
0,0,0,16
0,0,0,112
0,0,0,66
0,0,1,1928
0,0,0,211
1,2019,0,43
0,0,0,2
0,0,1,448
0,0,0,122
0,0,2,30
1,2017,2,37574
1,2016,0,233
0,0,0,100
0,0,0,592
0,0,0,4
0,0,0,206
0,0,0,4
0,0,0,20
0,0,0,4
0,0,0,2586
0,0,0,6
0,0,0,53
1,2012,0,477
0,0,0,8
1,2018,0,10
0,0,0,13
0,0,0,24
0,0,1,42
0,0,0,148397
0,0,0,10
0,0,0,5684
0,0,0,4
0,0,0,3
0,0,0,2
0,0,0,24
0,0,0,6
0,0,1,62
0,0,0,2
0,0,0,75
0,0,0,85
1,2016,0,2
0,0,0,2
0,0,0,2
0,0,0,4
1,2012,0,1181
1,2016,0,709
0,0,0,12
0,0,0,197
0,0,1,37
0,0,0,371
0,0,0,2
0,0,0,343
0,0,0,10
1,2018,0,222
0,0,0,425
0,0,0,671
0,0,0,7050
1,2015,0,4728
1,2016,0,41
1,2015,0,202
1,2018,0,217
0,0,0,222
0,0,0,9
0,0,0,4
1,2014,0,1760
0,0,0,2
1,2019,0,2847
0,0,0,8
0,0,0,18
1,2017,0,223
0,0,0,13
0,0,0,514
0,0,0,57
0,0,0,214
0,0,0,30
0,0,4,40
1,2016,0,114
0,0,0,71
0,0,0,59
0,0,0,45
1,2019,0,67
0,0,0,74
1,2019,0,135
1,2017,1,202
1,2016,0,296
0,0,0,8
0,0,0,54
0,0,0,42
0,0,5,44
0,0,0,2
0,0,0,7
1,2017,0,85
0,0,0,107
1,2017,4,214
0,0,0,27583
0,0,6,85
0,0,9,5515
0,0,0,118
1,2019,0,131
0,0,0,76
0,0,1,2
0,0,0,6
0,0,0,2
0,0,0,4
0,0,0,82
0,0,0,17
1,2013,0,2485
0,0,0,50
0,0,0,83
0,0,0,144
0,0,0,6
0,0,0,195
1,2014,0,8028
0,0,0,174
0,0,0,40
0,0,0,4
0,0,0,16
0,0,0,2
0,0,0,29
0,0,1,277
0,0,0,4
0,0,0,4
0,0,0,170
0,0,0,6
0,0,0,4
0,0,0,2
1,2014,0,37
0,0,0,53
0,0,0,4
0,0,1,645
